Sample ID,pH,Temperature (°C),Turbidity (NTU),Dissolved Oxygen (mg/L),Conductivity (µS/cm),Survivable_Fish
1,7.25,23.1,4.5,7.8,342,"Goldfish, Tilapia, Guppy, Mrigal, Silver Carp, Koi Carp"
2,7.11,22.3,5.1,6.2,335,"Goldfish, Tilapia, Guppy, Silver Carp, Koi Carp"
3,7.03,21.5,3.9,8.3,356,"Goldfish, Silver Carp, Koi Carp"
4,7.38,22.9,3.2,9.5,327,"Goldfish, Silver Carp, Koi Carp"
5,7.45,20.7,3.8,8.1,352,"Goldfish, Silver Carp, Koi Carp"
6,6.89,23.6,4.6,7.2,320,"Goldfish, Tilapia, Guppy, Mrigal, Silver Carp, Koi Carp"
7,7.19,21.2,4.2,8.8,350,"Goldfish, Silver Carp, Koi Carp"
8,6.98,22.1,3.7,6.9,325,"Goldfish, Tilapia, Guppy, Silver Carp, Koi Carp"
9,7.31,20.4,4.1,8.4,360,"Goldfish, Silver Carp, Koi Carp"
10,7.02,22.7,4.8,7.5,330,"Goldfish, Tilapia, Guppy, Silver Carp, Koi Carp"
11,7.24,22.4,4.3,8.6,347,"Goldfish, Guppy, Silver Carp, Koi Carp"
12,7.17,21.6,3.6,7.1,328,"Goldfish, Silver Carp, Koi Carp"
13,6.95,22.3,4.1,6.4,341,"Goldfish, Tilapia, Guppy, Silver Carp, Koi Carp"
14,7.06,23.5,3.7,9.2,355,"Goldfish, Silver Carp, Koi Carp"
15,7.48,20.8,3.4,7.9,329,"Goldfish, Silver Carp, Koi Carp"
16,6.92,21.4,4.9,6.8,362,"Goldfish, Silver Carp, Koi Carp"
17,7.11,22.0,4.4,8.1,336,"Goldfish, Guppy, Silver Carp, Koi Carp"
18,7.3,23.2,3.5,9.6,351,"Goldfish, Silver Carp, Koi Carp"
19,7.13,21.1,4.0,7.5,319,"Goldfish, Silver Carp, Koi Carp"
20,7.01,23.0,4.7,8.9,330,"Goldfish, Guppy, Silver Carp, Koi Carp"
21,6.83,22.5,3.3,6.1,348,"Goldfish, Tilapia, Guppy, Silver Carp, Koi Carp"
22,7.34,20.3,4.2,8.0,365,"Goldfish, Silver Carp, Koi Carp"
23,7.16,23.4,4.5,7.7,326,"Goldfish, Tilapia, Guppy, Mrigal, Silver Carp, Koi Carp"
24,7.25,22.6,3.9,9.1,355,"Goldfish, Silver Carp, Koi Carp"
25,7.39,21.9,4.1,7.4,317,"Goldfish, Silver Carp, Koi Carp"
26,7.02,22.2,4.6,6.6,339,"Goldfish, Tilapia, Guppy, Silver Carp, Koi Carp"
27,7.27,21.8,3.7,8.7,354,"Goldfish, Silver Carp, Koi Carp"
28,7.09,23.3,5.0,7.0,324,"Goldfish, Tilapia, Guppy, Mrigal, Silver Carp, Koi Carp"
29,7.15,20.6,4.4,8.5,358,"Goldfish, Silver Carp, Koi Carp"
30,7.07,22.8,3.8,6.9,332,"Goldfish, Tilapia, Guppy, Silver Carp, Koi Carp"
31,7.22,22.5,4.3,8.9,345,"Goldfish, Guppy, Silver Carp, Koi Carp"
32,6.92,21.7,4.7,6.3,363,"Goldfish, Silver Carp, Koi Carp"
33,7.13,23.1,3.6,8.2,347,"Goldfish, Guppy, Mrigal, Silver Carp, Koi Carp"
34,7.31,20.9,4.0,7.6,316,"Goldfish, Silver Carp, Koi Carp"
35,7.03,22.6,4.9,7.9,331,"Goldfish, Tilapia, Guppy, Silver Carp, Koi Carp"
36,7.21,21.8,3.8,8.5,346,"Goldfish, Silver Carp, Koi Carp"
37,7.13,22.5,4.2,7.7,321,"Goldfish, Tilapia, Guppy, Silver Carp, Koi Carp"
38,7.09,23.1,4.4,7.2,335,"Goldfish, Tilapia, Guppy, Mrigal, Silver Carp, Koi Carp"
39,7.35,21.6,3.9,9.2,357,"Goldfish, Silver Carp, Koi Carp"
40,7.02,22.0,3.2,8.8,318,"Goldfish, Guppy, Silver Carp, Koi Carp"
41,7.28,23.5,3.7,9.5,353,"Goldfish, Silver Carp, Koi Carp"
42,7.14,20.9,4.3,8.1,330,"Goldfish, Silver Carp, Koi Carp"
43,6.96,22.9,4.8,6.5,344,"Goldfish, Tilapia, Guppy, Silver Carp, Koi Carp"
44,7.24,22.7,4.1,8.0,327,"Goldfish, Tilapia, Guppy, Silver Carp, Koi Carp"
45,7.37,21.5,4.5,9.3,361,"Goldfish, Silver Carp, Koi Carp"
46,7.08,23.3,3.6,7.8,338,"Goldfish, Tilapia, Guppy, Mrigal, Silver Carp, Koi Carp"
47,7.16,21.1,4.4,7.3,352,"Goldfish, Silver Carp, Koi Carp"
48,7.03,22.4,4.0,8.3,319,"Goldfish, Guppy, Silver Carp, Koi Carp"
49,7.32,23.2,4.5,8.9,346,"Goldfish, Guppy, Silver Carp, Koi Carp"
50,7.19,20.8,3.9,9.1,331,"Goldfish, Silver Carp, Koi Carp"
51,7.12,22.1,4.6,6.8,340,"Goldfish, Tilapia, Guppy, Silver Carp, Koi Carp"
52,7.26,22.2,3.3,9.4,356,"Goldfish, Silver Carp, Koi Carp"
53,7.04,21.6,3.8,8.4,322,"Goldfish, Silver Carp, Koi Carp"
54,7.41,23.0,4.2,7.1,364,"Goldfish, Tilapia, Guppy, Mrigal, Silver Carp, Koi Carp"
55,7.08,21.7,4.1,8.6,337,"Goldfish, Silver Carp, Koi Carp"
56,7.25,22.8,3.5,9.7,349,"Goldfish, Silver Carp, Koi Carp"
57,7.17,20.6,4.7,7.6,328,"Goldfish, Silver Carp, Koi Carp"
58,7.01,23.4,3.6,6.9,333,"Goldfish, Tilapia, Guppy, Mrigal, Silver Carp, Koi Carp"
59,6.9,22.5,4.2,6.0,357,"Goldfish, Tilapia, Guppy, Silver Carp, Koi Carp"
60,7.29,21.9,4.8,7.9,320,"Goldfish, Silver Carp, Koi Carp"
61,7.19,23.1,3.9,9.0,342,"Goldfish, Guppy, Silver Carp, Koi Carp"
62,7.01,21.3,4.3,7.4,326,"Goldfish, Silver Carp, Koi Carp"
63,7.15,22.6,4.5,8.2,355,"Goldfish, Guppy, Silver Carp, Koi Carp"
64,7.12,22.0,3.7,8.7,334,"Goldfish, Guppy, Silver Carp, Koi Carp"
65,6.94,23.2,4.0,6.6,348,"Goldfish, Tilapia, Guppy, Mrigal, Silver Carp, Koi Carp"
66,7.36,22.4,4.5,9.4,362,"Goldfish, Silver Carp, Koi Carp"
67,7.02,20.7,3.8,8.2,323,"Goldfish, Silver Carp, Koi Carp"
68,7.26,23.5,4.6,7.5,350,"Goldfish, Tilapia, Guppy, Mrigal, Silver Carp, Koi Carp"
69,7.08,21.4,3.3,9.1,330,"Goldfish, Silver Carp, Koi Carp"
70,7.14,22.9,4.4,7.1,341,"Goldfish, Tilapia, Guppy, Silver Carp, Koi Carp"
71,7.31,21.2,3.6,8.8,329,"Goldfish, Silver Carp, Koi Carp"
72,7.03,23.0,4.8,6.7,345,"Goldfish, Tilapia, Guppy, Mrigal, Silver Carp, Koi Carp"
73,7.18,22.5,3.5,9.3,358,"Goldfish, Silver Carp, Koi Carp"
74,7.24,20.9,4.6,7.9,332,"Goldfish, Silver Carp, Koi Carp"
75,7.14,22.8,4.2,8.5,347,"Goldfish, Guppy, Silver Carp, Koi Carp"
76,7.06,22.1,3.9,8.0,321,"Goldfish, Tilapia, Guppy, Silver Carp, Koi Carp"
77,7.29,23.3,3.4,9.5,351,"Goldfish, Silver Carp, Koi Carp"
78,7.12,21.7,4.7,7.4,330,"Goldfish, Silver Carp, Koi Carp"
79,7.01,22.6,3.2,8.2,339,"Goldfish, Guppy, Silver Carp, Koi Carp"
80,7.35,22.1,4.5,9.2,359,"Goldfish, Silver Carp, Koi Carp"
81,7.04,23.1,4.0,6.4,324,"Goldfish, Tilapia, Guppy, Mrigal, Silver Carp, Koi Carp"
82,7.16,21.3,3.8,7.7,346,"Goldfish, Silver Carp, Koi Carp"
83,7.22,22.3,4.3,8.9,329,"Goldfish, Guppy, Silver Carp, Koi Carp"
84,7.13,20.7,4.1,8.4,337,"Goldfish, Silver Carp, Koi Carp"
85,7.25,23.0,3.9,9.6,354,"Goldfish, Silver Carp, Koi Carp"
86,7.09,22.2,4.4,7.0,333,"Goldfish, Tilapia, Guppy, Silver Carp, Koi Carp"
87,7.19,21.1,3.3,9.0,348,"Goldfish, Silver Carp, Koi Carp"
88,7.08,22.7,4.6,7.8,331,"Goldfish, Tilapia, Guppy, Silver Carp, Koi Carp"
89,7.37,22.4,3.7,9.1,362,"Goldfish, Silver Carp, Koi Carp"
90,7.12,21.8,4.5,8.6,340,"Goldfish, Silver Carp, Koi Carp"
91,7.27,23.4,4.2,7.2,327,"Goldfish, Tilapia, Guppy, Mrigal, Silver Carp, Koi Carp"
92,7.04,21.5,4.8,6.8,342,"Goldfish, Silver Carp, Koi Carp"
93,7.15,23.1,4.4,8.1,355,"Goldfish, Guppy, Mrigal, Silver Carp, Koi Carp"
94,7.21,22.5,3.6,8.7,338,"Goldfish, Guppy, Silver Carp, Koi Carp"
95,6.98,21.9,4.0,8.9,328,"Goldfish, Silver Carp, Koi Carp"
96,7.34,23.2,4.6,8.3,365,"Goldfish, Guppy, Mrigal, Silver Carp, Koi Carp"
97,7.02,21.0,3.9,7.5,332,"Goldfish, Silver Carp, Koi Carp"
98,7.26,22.8,3.2,9.2,358,"Goldfish, Silver Carp, Koi Carp"
99,7.09,23.0,4.3,7.3,327,"Goldfish, Tilapia, Guppy, Mrigal, Silver Carp, Koi Carp"
100,7.13,21.6,4.7,7.8,350,"Goldfish, Silver Carp, Koi Carp"
101,7.16,22.2,3.3,8.9,331,"Goldfish, Guppy, Silver Carp, Koi Carp"
102,7.21,21.4,4.2,7.4,347,"Goldfish, Silver Carp, Koi Carp"
103,7.32,23.3,4.1,9.5,366,"Goldfish, Silver Carp, Koi Carp"
104,7.05,20.9,3.7,8.1,339,"Goldfish, Silver Carp, Koi Carp"
105,7.13,22.5,4.3,7.9,326,"Goldfish, Tilapia, Guppy, Silver Carp, Koi Carp"
106,7.25,21.9,3.5,9.3,350,"Goldfish, Silver Carp, Koi Carp"
107,7.08,23.1,4.5,6.5,319,"Goldfish, Tilapia, Guppy, Mrigal, Silver Carp, Koi Carp"
108,7.19,22.0,4.7,7.8,343,"Goldfish, Tilapia, Guppy, Silver Carp, Koi Carp"
109,7.01,20.8,3.6,8.4,330,"Goldfish, Silver Carp, Koi Carp"
110,7.33,22.4,4.8,9.0,360,"Goldfish, Guppy, Silver Carp, Koi Carp"
111,7.07,23.2,3.5,7.7,327,"Goldfish, Tilapia, Guppy, Mrigal, Silver Carp, Koi Carp"
112,7.17,21.6,4.5,8.5,345,"Goldfish, Silver Carp, Koi Carp"
113,7.23,22.9,3.6,9.1,352,"Goldfish, Silver Carp, Koi Carp"
114,7.14,20.5,4.4,7.6,334,"Goldfish, Silver Carp, Koi Carp"
115,7.26,23.4,3.3,9.4,357,"Goldfish, Silver Carp, Koi Carp"
116,7.09,22.1,4.1,7.0,329,"Goldfish, Tilapia, Guppy, Silver Carp, Koi Carp"
117,7.2,21.3,4.4,8.2,346,"Goldfish, Silver Carp, Koi Carp"
118,7.05,22.7,4.7,7.2,335,"Goldfish, Tilapia, Guppy, Silver Carp, Koi Carp"
119,7.38,21.5,3.9,9.6,364,"Goldfish, Silver Carp, Koi Carp"
120,7.11,22.6,4.2,8.8,341,"Goldfish, Guppy, Silver Carp, Koi Carp"
121,7.28,20.7,3.8,9.2,353,"Goldfish, Silver Carp, Koi Carp"
122,7.03,23.3,4.3,6.9,322,"Goldfish, Tilapia, Guppy, Mrigal, Silver Carp, Koi Carp"
123,7.15,21.2,3.4,8.0,344,"Goldfish, Silver Carp, Koi Carp"
124,7.21,22.4,4.6,8.6,326,"Goldfish, Guppy, Silver Carp, Koi Carp"
125,7.12,23.0,3.1,9.4,356,"Goldfish, Silver Carp, Koi Carp"
126,7.0,22.3,4.5,6.3,328,"Goldfish, Tilapia, Guppy, Silver Carp, Koi Carp"
127,7.34,21.1,3.7,9.1,361,"Goldfish, Silver Carp, Koi Carp"
128,7.02,22.9,4.1,7.5,338,"Goldfish, Tilapia, Guppy, Silver Carp, Koi Carp"
129,7.24,21.8,4.4,8.3,347,"Goldfish, Silver Carp, Koi Carp"
130,7.1,23.4,4.8,7.7,331,"Goldfish, Tilapia, Guppy, Mrigal, Silver Carp, Koi Carp"
131,7.16,20.4,3.8,8.7,329,"Goldfish, Silver Carp, Koi Carp"
132,7.29,22.3,4.2,9.3,357,"Goldfish, Silver Carp, Koi Carp"
133,7.01,21.6,4.3,7.2,326,"Goldfish, Silver Carp, Koi Carp"
134,7.18,23.1,3.7,9.0,348,"Goldfish, Guppy, Silver Carp, Koi Carp"
135,7.13,21.3,4.5,8.1,335,"Goldfish, Silver Carp, Koi Carp"
136,7.24,22.5,3.9,9.5,353,"Goldfish, Silver Carp, Koi Carp"
137,7.05,20.8,4.6,7.6,329,"Goldfish, Silver Carp, Koi Carp"
138,7.2,23.4,4.1,8.8,342,"Goldfish, Guppy, Silver Carp, Koi Carp"
139,7.1,22.6,3.8,8.3,336,"Goldfish, Guppy, Silver Carp, Koi Carp"
140,7.33,21.2,4.4,9.7,365,"Goldfish, Silver Carp, Koi Carp"
141,7.07,23.0,3.4,7.9,324,"Goldfish, Tilapia, Guppy, Mrigal, Silver Carp, Koi Carp"
142,7.21,21.7,4.5,8.7,349,"Goldfish, Silver Carp, Koi Carp"
143,7.23,22.1,3.6,9.4,356,"Goldfish, Silver Carp, Koi Carp"
144,7.16,20.6,4.2,7.8,331,"Goldfish, Silver Carp, Koi Carp"
145,7.28,23.3,3.4,9.1,358,"Goldfish, Silver Carp, Koi Carp"
146,7.09,21.9,4.8,7.3,332,"Goldfish, Silver Carp, Koi Carp"
147,7.22,20.5,4.6,8.4,344,"Goldfish, Silver Carp, Koi Carp"
148,7.04,22.8,3.5,8.2,336,"Goldfish, Guppy, Silver Carp, Koi Carp"
149,7.35,21.4,3.9,9.8,367,"Goldfish, Silver Carp, Koi Carp"
150,7.08,22.2,4.3,7.5,327,"Goldfish, Tilapia, Guppy, Silver Carp, Koi Carp"
151,7.26,21.0,3.8,9.3,354,"Goldfish, Silver Carp, Koi Carp"
152,7.03,23.2,4.1,6.8,323,"Goldfish, Tilapia, Guppy, Mrigal, Silver Carp, Koi Carp"
153,7.15,21.1,4.7,7.7,345,"Goldfish, Silver Carp, Koi Carp"
154,7.19,22.5,3.1,9.6,351,"Goldfish, Silver Carp, Koi Carp"
155,7.11,22.9,4.4,8.0,339,"Goldfish, Tilapia, Guppy, Silver Carp, Koi Carp"
156,7.01,20.9,4.8,6.9,328,"Goldfish, Silver Carp, Koi Carp"
157,7.31,21.6,3.6,9.2,359,"Goldfish, Silver Carp, Koi Carp"
158,7.02,22.2,4.5,7.4,337,"Goldfish, Tilapia, Guppy, Silver Carp, Koi Carp"
159,7.25,21.8,4.2,8.9,346,"Goldfish, Silver Carp, Koi Carp"
160,7.12,23.5,4.6,7.9,333,"Goldfish, Tilapia, Guppy, Mrigal, Silver Carp, Koi Carp"
161,7.17,21.4,3.9,8.5,331,"Goldfish, Silver Carp, Koi Carp"
162,7.29,20.8,4.7,9.6,363,"Goldfish, Silver Carp, Koi Carp"
163,7.01,22.3,4.5,7.8,328,"Goldfish, Tilapia, Guppy, Silver Carp, Koi Carp"
164,7.18,23.0,4.1,8.9,347,"Goldfish, Guppy, Silver Carp, Koi Carp"
165,7.14,20.5,3.6,8.0,333,"Goldfish, Silver Carp, Koi Carp"
166,7.25,21.3,4.4,9.4,352,"Goldfish, Silver Carp, Koi Carp"
167,7.05,22.6,3.9,7.3,325,"Goldfish, Tilapia, Guppy, Silver Carp, Koi Carp"
168,7.2,21.2,4.6,8.6,345,"Goldfish, Silver Carp, Koi Carp"
169,7.1,22.9,3.7,8.1,335,"Goldfish, Guppy, Silver Carp, Koi Carp"
170,7.33,23.4,4.5,9.9,370,"Goldfish, Silver Carp, Koi Carp"
171,7.07,20.6,3.5,7.7,329,"Goldfish, Silver Carp, Koi Carp"
172,7.21,22.1,4.2,8.8,350,"Goldfish, Guppy, Silver Carp, Koi Carp"
173,7.23,23.3,4.6,9.7,359,"Goldfish, Silver Carp, Koi Carp"
174,7.16,21.8,4.0,8.3,339,"Goldfish, Silver Carp, Koi Carp"
175,7.28,20.9,4.3,9.2,360,"Goldfish, Silver Carp, Koi Carp"
176,7.09,22.2,3.7,7.9,331,"Goldfish, Tilapia, Guppy, Silver Carp, Koi Carp"
177,7.22,23.1,4.4,8.5,355,"Goldfish, Guppy, Mrigal, Silver Carp, Koi Carp"
178,7.04,20.8,4.1,7.5,332,"Goldfish, Silver Carp, Koi Carp"
179,7.35,22.5,3.8,9.8,370,"Goldfish, Silver Carp, Koi Carp"
180,7.08,21.7,4.6,7.4,330,"Goldfish, Silver Carp, Koi Carp"
181,7.26,23.0,3.9,9.5,357,"Goldfish, Silver Carp, Koi Carp"
182,7.03,20.7,4.4,7.1,327,"Goldfish, Silver Carp, Koi Carp"
183,7.15,22.1,3.8,8.1,342,"Goldfish, Guppy, Silver Carp, Koi Carp"
184,7.19,23.2,4.3,9.0,351,"Goldfish, Guppy, Silver Carp, Koi Carp"
185,7.11,21.3,4.5,7.9,334,"Goldfish, Silver Carp, Koi Carp"
186,7.01,22.0,3.6,7.1,327,"Goldfish, Tilapia, Guppy, Silver Carp, Koi Carp"
187,7.31,21.5,4.7,9.4,364,"Goldfish, Silver Carp, Koi Carp"
188,7.02,23.1,4.1,6.8,322,"Goldfish, Tilapia, Guppy, Mrigal, Silver Carp, Koi Carp"
189,7.25,20.7,4.6,8.7,346,"Goldfish, Silver Carp, Koi Carp"
190,7.12,22.4,3.5,8.2,338,"Goldfish, Guppy, Silver Carp, Koi Carp"
191,7.09,21.9,4.2,8.2,336,"Goldfish, Silver Carp, Koi Carp"
192,7.16,22.5,3.9,8.4,340,"Goldfish, Guppy, Silver Carp, Koi Carp"
193,7.2,21.7,4.1,8.6,347,"Goldfish, Silver Carp, Koi Carp"
194,7.08,23.5,3.8,7.8,330,"Goldfish, Tilapia, Guppy, Mrigal, Silver Carp, Koi Carp"
195,7.32,20.5,4.2,9.8,369,"Goldfish, Silver Carp, Koi Carp"
196,7.14,21.2,4.3,8.1,340,"Goldfish, Silver Carp, Koi Carp"
197,7.05,22.8,3.6,7.4,328,"Goldfish, Tilapia, Guppy, Silver Carp, Koi Carp"
198,7.25,23.2,4.4,9.3,357,"Goldfish, Silver Carp, Koi Carp"
199,7.19,21.6,4.6,8.7,344,"Goldfish, Silver Carp, Koi Carp"
200,7.1,22.7,3.5,7.9,335,"Goldfish, Tilapia, Guppy, Silver Carp, Koi Carp"
201,7.16,21.8,4.2,8.4,342,"Goldfish, Silver Carp, Koi Carp"
202,7.29,23.1,3.8,9.3,357,"Goldfish, Silver Carp, Koi Carp"
203,7.01,21.3,4.3,7.9,328,"Goldfish, Silver Carp, Koi Carp"
204,7.18,22.2,3.9,8.5,347,"Goldfish, Guppy, Silver Carp, Koi Carp"
205,7.14,23.4,4.7,8.8,353,"Goldfish, Guppy, Silver Carp, Koi Carp"
206,7.25,20.6,4.5,9.2,349,"Goldfish, Silver Carp, Koi Carp"
207,7.05,22.5,3.7,7.5,330,"Goldfish, Tilapia, Guppy, Silver Carp, Koi Carp"
208,7.2,21.9,4.6,8.1,341,"Goldfish, Silver Carp, Koi Carp"
209,7.1,23.0,4.1,9.0,356,"Goldfish, Guppy, Silver Carp, Koi Carp"
210,7.33,20.9,4.4,9.7,366,"Goldfish, Silver Carp, Koi Carp"
211,7.07,22.1,3.8,7.7,331,"Goldfish, Tilapia, Guppy, Silver Carp, Koi Carp"
212,7.21,23.3,4.3,8.9,358,"Goldfish, Guppy, Silver Carp, Koi Carp"
213,7.23,20.8,4.2,8.6,345,"Goldfish, Silver Carp, Koi Carp"
214,7.16,22.6,3.6,9.1,335,"Goldfish, Silver Carp, Koi Carp"
215,7.28,21.2,4.5,8.3,348,"Goldfish, Silver Carp, Koi Carp"
216,7.09,22.9,3.9,9.4,362,"Goldfish, Silver Carp, Koi Carp"
217,7.22,20.5,4.6,8.2,344,"Goldfish, Silver Carp, Koi Carp"
218,7.04,23.0,3.7,7.8,330,"Goldfish, Tilapia, Guppy, Mrigal, Silver Carp, Koi Carp"
219,7.35,21.6,4.4,9.5,369,"Goldfish, Silver Carp, Koi Carp"
220,7.08,22.3,3.8,8.0,333,"Goldfish, Tilapia, Guppy, Silver Carp, Koi Carp"
221,7.26,23.2,4.3,9.6,359,"Goldfish, Silver Carp, Koi Carp"
222,7.03,21.1,4.2,7.6,324,"Goldfish, Silver Carp, Koi Carp"
223,7.15,22.7,3.9,8.9,347,"Goldfish, Guppy, Silver Carp, Koi Carp"
224,7.19,21.4,4.5,7.8,336,"Goldfish, Silver Carp, Koi Carp"
225,7.11,23.5,3.6,9.2,355,"Goldfish, Silver Carp, Koi Carp"
226,7.01,20.7,4.7,7.2,331,"Goldfish, Silver Carp, Koi Carp"
227,7.31,22.4,4.4,8.7,348,"Goldfish, Guppy, Silver Carp, Koi Carp"
228,7.02,23.0,3.8,9.3,361,"Goldfish, Silver Carp, Koi Carp"
229,7.25,21.8,4.6,7.5,335,"Goldfish, Silver Carp, Koi Carp"
230,7.12,22.3,4.1,8.8,343,"Goldfish, Guppy, Silver Carp, Koi Carp"
231,7.16,20.8,3.9,8.3,339,"Goldfish, Silver Carp, Koi Carp"
232,7.29,22.7,4.5,9.4,364,"Goldfish, Silver Carp, Koi Carp"
233,7.01,21.4,4.2,7.7,327,"Goldfish, Silver Carp, Koi Carp"
234,7.18,23.2,3.6,9.1,351,"Goldfish, Silver Carp, Koi Carp"
235,7.14,20.9,4.4,7.9,336,"Goldfish, Silver Carp, Koi Carp"
236,7.25,22.6,3.8,8.4,344,"Goldfish, Guppy, Silver Carp, Koi Carp"
237,7.05,21.1,4.7,8.2,333,"Goldfish, Silver Carp, Koi Carp"
238,7.2,23.4,4.3,9.5,360,"Goldfish, Silver Carp, Koi Carp"
239,7.1,21.9,3.9,8.7,342,"Goldfish, Silver Carp, Koi Carp"
240,7.33,22.5,4.6,9.9,370,"Goldfish, Silver Carp, Koi Carp"
241,7.07,23.3,3.8,8.0,345,"Goldfish, Tilapia, Guppy, Mrigal, Silver Carp, Koi Carp"
242,7.21,20.8,4.5,9.3,359,"Goldfish, Silver Carp, Koi Carp"
243,7.23,22.3,4.1,8.9,355,"Goldfish, Guppy, Silver Carp, Koi Carp"
