Sample ID,pH,Temperature (°C),Turbidity (NTU),Dissolved Oxygen (mg/L),Conductivity (µS/cm),Survivable_Fish
244,7.16,21.6,4.4,8.1,338,"Goldfish, Silver Carp, Koi Carp"
245,7.28,23.1,3.7,9.6,367,"Goldfish, Silver Carp, Koi Carp"
246,7.09,20.4,4.6,7.5,329,"Goldfish, Silver Carp, Koi Carp"
247,7.22,22.0,4.3,8.6,347,"Goldfish, Guppy, Silver Carp, Koi Carp"
248,7.04,23.2,3.9,7.8,332,"Goldfish, Tilapia, Guppy, Mrigal, Silver Carp, Koi Carp"
249,7.35,21.5,4.7,9.7,366,"Goldfish, Silver Carp, Koi Carp"
250,7.08,22.6,3.8,8.2,340,"Goldfish, Guppy, Silver Carp, Koi Carp"
251,7.26,21.3,4.5,9.2,358,"Goldfish, Silver Carp, Koi Carp"
252,7.03,22.2,4.2,7.6,329,"Goldfish, Tilapia, Guppy, Silver Carp, Koi Carp"
253,7.15,23.0,3.6,9.1,353,"Goldfish, Silver Carp, Koi Carp"
254,7.19,20.6,4.4,8.5,342,"Goldfish, Silver Carp, Koi Carp"
255,7.11,22.5,3.9,9.4,363,"Goldfish, Silver Carp, Koi Carp"
256,7.01,21.2,4.6,7.8,328,"Goldfish, Silver Carp, Koi Carp"
257,7.31,23.3,4.1,9.2,362,"Goldfish, Silver Carp, Koi Carp"
258,7.02,20.9,4.5,8.7,337,"Goldfish, Silver Carp, Koi Carp"
259,7.25,22.8,3.8,9.5,359,"Goldfish, Silver Carp, Koi Carp"
260,7.12,21.4,4.3,7.9,336,"Goldfish, Silver Carp, Koi Carp"
261,7.16,22.1,3.9,8.3,342,"Goldfish, Guppy, Silver Carp, Koi Carp"
262,7.29,20.8,4.6,9.2,355,"Goldfish, Silver Carp, Koi Carp"
263,7.01,22.3,4.3,7.7,329,"Goldfish, Tilapia, Guppy, Silver Carp, Koi Carp"
264,7.18,23.0,3.7,9.1,352,"Goldfish, Silver Carp, Koi Carp"
265,7.14,20.5,4.5,7.9,334,"Goldfish, Silver Carp, Koi Carp"
266,7.25,21.3,4.2,8.4,346,"Goldfish, Silver Carp, Koi Carp"
267,7.05,22.6,3.8,7.5,328,"Goldfish, Tilapia, Guppy, Silver Carp, Koi Carp"
268,7.2,21.2,4.7,8.1,341,"Goldfish, Silver Carp, Koi Carp"
269,7.1,22.9,3.9,8.7,348,"Goldfish, Guppy, Silver Carp, Koi Carp"
270,7.33,23.4,4.6,9.8,368,"Goldfish, Silver Carp, Koi Carp"
271,7.07,20.6,3.8,7.7,331,"Goldfish, Silver Carp, Koi Carp"
272,7.21,22.1,4.5,8.9,355,"Goldfish, Guppy, Silver Carp, Koi Carp"
273,7.23,23.3,4.2,8.6,351,"Goldfish, Guppy, Silver Carp, Koi Carp"
274,7.16,20.8,4.3,8.0,332,"Goldfish, Silver Carp, Koi Carp"
275,7.28,23.0,3.6,9.4,362,"Goldfish, Silver Carp, Koi Carp"
276,7.09,21.9,4.5,7.8,338,"Goldfish, Silver Carp, Koi Carp"
277,7.22,20.5,4.4,8.5,345,"Goldfish, Silver Carp, Koi Carp"
278,7.04,22.8,3.7,8.2,333,"Goldfish, Guppy, Silver Carp, Koi Carp"
279,7.35,21.4,4.6,9.7,370,"Goldfish, Silver Carp, Koi Carp"
280,7.08,22.2,3.9,7.9,335,"Goldfish, Tilapia, Guppy, Silver Carp, Koi Carp"
281,7.26,21.0,4.5,9.3,359,"Goldfish, Silver Carp, Koi Carp"
282,7.03,23.2,4.2,7.6,327,"Goldfish, Tilapia, Guppy, Mrigal, Silver Carp, Koi Carp"
283,7.15,21.1,4.1,8.3,342,"Goldfish, Silver Carp, Koi Carp"
284,7.19,22.5,4.3,9.0,351,"Goldfish, Guppy, Silver Carp, Koi Carp"
285,7.11,22.9,3.8,8.0,339,"Goldfish, Tilapia, Guppy, Silver Carp, Koi Carp"
286,7.01,20.9,4.6,7.2,328,"Goldfish, Silver Carp, Koi Carp"
287,7.31,21.6,3.9,9.2,358,"Goldfish, Silver Carp, Koi Carp"
288,7.02,22.2,4.4,7.4,337,"Goldfish, Tilapia, Guppy, Silver Carp, Koi Carp"
289,7.25,21.8,4.1,8.9,345,"Goldfish, Silver Carp, Koi Carp"
290,7.12,23.5,4.5,7.9,333,"Goldfish, Tilapia, Guppy, Mrigal, Silver Carp, Koi Carp"
291,7.16,21.3,4.0,8.3,341,"Goldfish, Silver Carp, Koi Carp"
292,7.29,22.4,4.7,9.2,360,"Goldfish, Silver Carp, Koi Carp"
293,7.01,21.0,4.5,7.7,328,"Goldfish, Silver Carp, Koi Carp"
294,7.18,23.2,3.9,9.1,353,"Goldfish, Silver Carp, Koi Carp"
295,7.14,20.9,4.4,7.9,336,"Goldfish, Silver Carp, Koi Carp"
296,7.25,22.5,3.8,8.4,343,"Goldfish, Guppy, Silver Carp, Koi Carp"
297,7.05,21.1,4.3,7.5,330,"Goldfish, Silver Carp, Koi Carp"
298,7.2,22.9,4.6,8.1,346,"Goldfish, Guppy, Silver Carp, Koi Carp"
299,7.1,21.8,3.9,8.7,342,"Goldfish, Silver Carp, Koi Carp"
300,7.33,23.1,4.5,9.8,366,"Goldfish, Silver Carp, Koi Carp"
301,7.07,20.7,3.8,7.7,331,"Goldfish, Silver Carp, Koi Carp"
302,7.21,22.6,4.5,8.9,356,"Goldfish, Guppy, Silver Carp, Koi Carp"
303,7.23,21.2,4.2,8.6,344,"Goldfish, Silver Carp, Koi Carp"
304,7.16,23.0,3.6,9.1,354,"Goldfish, Silver Carp, Koi Carp"
305,7.28,20.8,4.5,9.5,361,"Goldfish, Silver Carp, Koi Carp"
306,7.09,22.3,3.9,9.4,363,"Goldfish, Silver Carp, Koi Carp"
307,7.22,23.2,4.3,8.5,350,"Goldfish, Guppy, Mrigal, Silver Carp, Koi Carp"
308,7.04,20.6,4.4,7.8,335,"Goldfish, Silver Carp, Koi Carp"
309,7.35,22.1,3.7,9.7,368,"Goldfish, Silver Carp, Koi Carp"
310,7.08,23.4,4.6,8.2,349,"Goldfish, Guppy, Mrigal, Silver Carp, Koi Carp"
311,7.26,21.3,3.9,9.2,359,"Goldfish, Silver Carp, Koi Carp"
312,7.03,22.0,4.2,7.6,328,"Goldfish, Tilapia, Guppy, Silver Carp, Koi Carp"
313,7.15,23.1,3.6,8.9,352,"Goldfish, Guppy, Silver Carp, Koi Carp"
314,7.19,21.4,4.3,7.8,336,"Goldfish, Silver Carp, Koi Carp"
315,7.11,22.7,4.5,8.3,347,"Goldfish, Guppy, Silver Carp, Koi Carp"
316,7.01,20.8,4.6,7.1,327,"Goldfish, Silver Carp, Koi Carp"
317,7.31,22.5,3.8,9.4,362,"Goldfish, Silver Carp, Koi Carp"
318,7.02,21.2,4.7,7.5,334,"Goldfish, Silver Carp, Koi Carp"
319,7.25,23.0,3.9,8.7,358,"Goldfish, Guppy, Silver Carp, Koi Carp"
320,7.12,20.9,4.4,8.2,339,"Goldfish, Silver Carp, Koi Carp"
321,7.16,21.7,4.1,8.3,344,"Goldfish, Silver Carp, Koi Carp"
322,7.29,22.8,4.8,9.2,361,"Goldfish, Silver Carp, Koi Carp"
323,7.01,21.4,4.6,7.7,329,"Goldfish, Silver Carp, Koi Carp"
324,7.18,23.1,4.0,9.1,354,"Goldfish, Silver Carp, Koi Carp"
325,7.14,20.7,4.4,7.9,336,"Goldfish, Silver Carp, Koi Carp"
326,7.25,22.3,3.8,8.4,344,"Goldfish, Guppy, Silver Carp, Koi Carp"
327,7.05,21.0,4.3,7.5,329,"Goldfish, Silver Carp, Koi Carp"
328,7.2,22.9,4.7,8.1,347,"Goldfish, Guppy, Silver Carp, Koi Carp"
329,7.1,21.8,4.0,8.7,343,"Goldfish, Silver Carp, Koi Carp"
330,7.33,23.2,4.6,9.8,367,"Goldfish, Silver Carp, Koi Carp"
331,7.07,20.8,3.8,7.7,332,"Goldfish, Silver Carp, Koi Carp"
332,7.21,22.4,4.5,8.9,356,"Goldfish, Guppy, Silver Carp, Koi Carp"
333,7.23,21.2,4.2,8.6,343,"Goldfish, Silver Carp, Koi Carp"
334,7.16,23.0,3.6,9.1,354,"Goldfish, Silver Carp, Koi Carp"
335,7.28,20.9,4.5,9.5,362,"Goldfish, Silver Carp, Koi Carp"
336,7.09,22.5,3.9,9.4,363,"Goldfish, Silver Carp, Koi Carp"
337,7.22,23.3,4.3,8.5,350,"Goldfish, Guppy, Mrigal, Silver Carp, Koi Carp"
338,7.04,20.7,4.4,7.8,335,"Goldfish, Silver Carp, Koi Carp"
339,7.35,22.6,3.7,9.7,369,"Goldfish, Silver Carp, Koi Carp"
340,7.08,21.3,4.6,8.2,340,"Goldfish, Silver Carp, Koi Carp"
341,7.26,23.1,3.9,9.2,360,"Goldfish, Silver Carp, Koi Carp"
342,7.03,22.0,4.2,7.6,330,"Goldfish, Tilapia, Guppy, Silver Carp, Koi Carp"
343,7.15,23.2,3.6,8.9,353,"Goldfish, Guppy, Silver Carp, Koi Carp"
344,7.19,21.4,4.3,7.8,336,"Goldfish, Silver Carp, Koi Carp"
345,7.11,22.7,4.5,8.3,347,"Goldfish, Guppy, Silver Carp, Koi Carp"
346,7.01,20.8,4.6,7.1,327,"Goldfish, Silver Carp, Koi Carp"
347,7.31,22.5,3.8,9.4,361,"Goldfish, Silver Carp, Koi Carp"
348,7.02,21.2,4.7,7.5,334,"Goldfish, Silver Carp, Koi Carp"
349,7.25,23.0,3.9,8.7,359,"Goldfish, Guppy, Silver Carp, Koi Carp"
350,7.12,20.9,4.4,8.2,339,"Goldfish, Silver Carp, Koi Carp"
351,7.16,21.7,4.1,8.3,344,"Goldfish, Silver Carp, Koi Carp"
352,7.29,22.8,4.8,9.2,361,"Goldfish, Silver Carp, Koi Carp"
353,7.01,21.4,4.6,7.7,329,"Goldfish, Silver Carp, Koi Carp"
354,7.18,23.1,4.0,9.1,354,"Goldfish, Silver Carp, Koi Carp"
355,7.14,20.7,4.4,7.9,336,"Goldfish, Silver Carp, Koi Carp"
356,7.25,22.3,3.8,8.4,344,"Goldfish, Guppy, Silver Carp, Koi Carp"
357,7.05,21.0,4.3,7.5,329,"Goldfish, Silver Carp, Koi Carp"
358,7.2,22.9,4.7,8.1,347,"Goldfish, Guppy, Silver Carp, Koi Carp"
359,7.1,21.8,4.0,8.7,343,"Goldfish, Silver Carp, Koi Carp"
360,7.33,23.2,4.6,9.8,367,"Goldfish, Silver Carp, Koi Carp"
361,7.07,20.8,3.8,7.7,332,"Goldfish, Silver Carp, Koi Carp"
362,7.21,22.4,4.5,8.9,356,"Goldfish, Guppy, Silver Carp, Koi Carp"
363,7.23,21.2,4.2,8.6,343,"Goldfish, Silver Carp, Koi Carp"
364,7.16,23.0,3.6,9.1,354,"Goldfish, Silver Carp, Koi Carp"
365,7.28,20.9,4.5,9.5,362,"Goldfish, Silver Carp, Koi Carp"
366,7.09,22.5,3.9,9.4,363,"Goldfish, Silver Carp, Koi Carp"
367,7.22,23.3,4.3,8.5,350,"Goldfish, Guppy, Mrigal, Silver Carp, Koi Carp"
368,7.04,20.7,4.4,7.8,335,"Goldfish, Silver Carp, Koi Carp"
369,7.35,22.6,3.7,9.7,369,"Goldfish, Silver Carp, Koi Carp"
370,7.08,21.3,4.6,8.2,340,"Goldfish, Silver Carp, Koi Carp"
371,7.26,23.1,3.9,9.2,360,"Goldfish, Silver Carp, Koi Carp"
372,7.03,22.0,4.2,7.6,330,"Goldfish, Tilapia, Guppy, Silver Carp, Koi Carp"
373,7.15,23.2,3.6,8.9,353,"Goldfish, Guppy, Silver Carp, Koi Carp"
374,7.19,21.4,4.3,7.8,336,"Goldfish, Silver Carp, Koi Carp"
375,7.11,22.7,4.5,8.3,347,"Goldfish, Guppy, Silver Carp, Koi Carp"
376,7.01,20.8,4.6,7.1,327,"Goldfish, Silver Carp, Koi Carp"
377,7.31,22.5,3.8,9.4,361,"Goldfish, Silver Carp, Koi Carp"
378,7.02,21.2,4.7,7.5,334,"Goldfish, Silver Carp, Koi Carp"
379,7.25,23.0,3.9,8.7,359,"Goldfish, Guppy, Silver Carp, Koi Carp"
380,7.12,20.9,4.4,8.2,339,"Goldfish, Silver Carp, Koi Carp"
381,7.16,21.7,4.1,8.3,344,"Goldfish, Silver Carp, Koi Carp"
382,7.29,22.8,4.8,9.2,361,"Goldfish, Silver Carp, Koi Carp"
383,7.01,21.4,4.6,7.7,329,"Goldfish, Silver Carp, Koi Carp"
384,7.18,23.1,4.0,9.1,354,"Goldfish, Silver Carp, Koi Carp"
385,7.14,20.7,4.4,7.9,336,"Goldfish, Silver Carp, Koi Carp"
386,7.25,22.3,3.8,8.4,344,"Goldfish, Guppy, Silver Carp, Koi Carp"
387,7.05,21.0,4.3,7.5,329,"Goldfish, Silver Carp, Koi Carp"
388,7.2,22.9,4.7,8.1,347,"Goldfish, Guppy, Silver Carp, Koi Carp"
389,7.1,21.8,4.0,8.7,343,"Goldfish, Silver Carp, Koi Carp"
390,7.33,23.2,4.6,9.8,367,"Goldfish, Silver Carp, Koi Carp"
391,7.07,20.8,3.8,7.7,332,"Goldfish, Silver Carp, Koi Carp"
392,7.21,22.4,4.5,8.9,356,"Goldfish, Guppy, Silver Carp, Koi Carp"
393,7.23,21.2,4.2,8.6,343,"Goldfish, Silver Carp, Koi Carp"
394,7.16,23.0,3.6,9.1,354,"Goldfish, Silver Carp, Koi Carp"
395,7.28,20.9,4.5,9.5,362,"Goldfish, Silver Carp, Koi Carp"
396,7.09,22.5,3.9,9.4,363,"Goldfish, Silver Carp, Koi Carp"
397,7.22,23.3,4.3,8.5,350,"Goldfish, Guppy, Mrigal, Silver Carp, Koi Carp"
398,7.04,20.7,4.4,7.8,335,"Goldfish, Silver Carp, Koi Carp"
399,7.35,22.6,3.7,9.7,369,"Goldfish, Silver Carp, Koi Carp"
400,7.08,21.3,4.6,8.2,340,"Goldfish, Silver Carp, Koi Carp"
401,7.26,23.1,3.9,9.2,360,"Goldfish, Silver Carp, Koi Carp"
402,7.03,22.0,4.2,7.6,330,"Goldfish, Tilapia, Guppy, Silver Carp, Koi Carp"
403,7.15,23.2,3.6,8.9,353,"Goldfish, Guppy, Silver Carp, Koi Carp"
404,7.19,21.4,4.3,7.8,336,"Goldfish, Silver Carp, Koi Carp"
405,7.11,22.7,4.5,8.3,347,"Goldfish, Guppy, Silver Carp, Koi Carp"
406,7.01,20.8,4.6,7.1,327,"Goldfish, Silver Carp, Koi Carp"
407,7.31,22.5,3.8,9.4,361,"Goldfish, Silver Carp, Koi Carp"
408,7.02,21.2,4.7,7.5,334,"Goldfish, Silver Carp, Koi Carp"
409,7.25,23.0,3.9,8.7,359,"Goldfish, Guppy, Silver Carp, Koi Carp"
410,7.12,20.9,4.4,8.2,339,"Goldfish, Silver Carp, Koi Carp"
411,7.16,21.7,4.1,8.3,344,"Goldfish, Silver Carp, Koi Carp"
412,7.29,22.8,4.8,9.2,361,"Goldfish, Silver Carp, Koi Carp"
413,7.01,21.4,4.6,7.7,329,"Goldfish, Silver Carp, Koi Carp"
414,7.18,23.1,4.0,9.1,354,"Goldfish, Silver Carp, Koi Carp"
415,7.14,20.7,4.4,7.9,336,"Goldfish, Silver Carp, Koi Carp"
416,7.25,22.3,3.8,8.4,344,"Goldfish, Guppy, Silver Carp, Koi Carp"
417,7.05,21.0,4.3,7.5,329,"Goldfish, Silver Carp, Koi Carp"
418,7.2,22.9,4.7,8.1,347,"Goldfish, Guppy, Silver Carp, Koi Carp"
419,7.1,21.8,4.0,8.7,343,"Goldfish, Silver Carp, Koi Carp"
420,7.33,23.2,4.6,9.8,367,"Goldfish, Silver Carp, Koi Carp"
421,7.07,20.8,3.8,7.7,332,"Goldfish, Silver Carp, Koi Carp"
422,7.21,22.4,4.5,8.9,356,"Goldfish, Guppy, Silver Carp, Koi Carp"
423,7.23,21.2,4.2,8.6,343,"Goldfish, Silver Carp, Koi Carp"
424,7.16,23.0,3.6,9.1,354,"Goldfish, Silver Carp, Koi Carp"
425,7.28,20.9,4.5,9.5,362,"Goldfish, Silver Carp, Koi Carp"
426,7.09,22.5,3.9,9.4,363,"Goldfish, Silver Carp, Koi Carp"
427,7.22,23.3,4.3,8.5,350,"Goldfish, Guppy, Mrigal, Silver Carp, Koi Carp"
428,7.04,20.7,4.4,7.8,335,"Goldfish, Silver Carp, Koi Carp"
429,7.35,22.6,3.7,9.7,369,"Goldfish, Silver Carp, Koi Carp"
430,7.08,21.3,4.6,8.2,340,"Goldfish, Silver Carp, Koi Carp"
431,7.26,23.1,3.9,9.2,360,"Goldfish, Silver Carp, Koi Carp"
432,7.03,22.0,4.2,7.6,330,"Goldfish, Tilapia, Guppy, Silver Carp, Koi Carp"
433,7.15,23.2,3.6,8.9,353,"Goldfish, Guppy, Silver Carp, Koi Carp"
434,7.19,21.4,4.3,7.8,336,"Goldfish, Silver Carp, Koi Carp"
435,7.11,22.7,4.5,8.3,347,"Goldfish, Guppy, Silver Carp, Koi Carp"
436,7.01,20.8,4.6,7.1,327,"Goldfish, Silver Carp, Koi Carp"
437,7.31,22.5,3.8,9.4,361,"Goldfish, Silver Carp, Koi Carp"
438,7.02,21.2,4.7,7.5,334,"Goldfish, Silver Carp, Koi Carp"
439,7.25,23.0,3.9,8.7,359,"Goldfish, Guppy, Silver Carp, Koi Carp"
440,7.12,20.9,4.4,8.2,339,"Goldfish, Silver Carp, Koi Carp"
441,7.16,21.7,4.1,8.3,344,"Goldfish, Silver Carp, Koi Carp"
442,7.29,22.8,4.8,9.2,361,"Goldfish, Silver Carp, Koi Carp"
443,7.01,21.4,4.6,7.7,329,"Goldfish, Silver Carp, Koi Carp"
444,7.18,23.1,4.0,9.1,354,"Goldfish, Silver Carp, Koi Carp"
445,7.14,20.7,4.4,7.9,336,"Goldfish, Silver Carp, Koi Carp"
446,7.25,22.3,3.8,8.4,344,"Goldfish, Guppy, Silver Carp, Koi Carp"
447,7.05,21.0,4.3,7.5,329,"Goldfish, Silver Carp, Koi Carp"
448,7.2,22.9,4.7,8.1,347,"Goldfish, Guppy, Silver Carp, Koi Carp"
449,7.1,21.8,4.0,8.7,343,"Goldfish, Silver Carp, Koi Carp"
450,7.33,23.2,4.6,9.8,367,"Goldfish, Silver Carp, Koi Carp"
451,7.07,20.8,3.8,7.7,332,"Goldfish, Silver Carp, Koi Carp"
452,7.21,22.4,4.5,8.9,356,"Goldfish, Guppy, Silver Carp, Koi Carp"
453,7.23,21.2,4.2,8.6,343,"Goldfish, Silver Carp, Koi Carp"
454,7.16,23.0,3.6,9.1,354,"Goldfish, Silver Carp, Koi Carp"
455,7.28,20.9,4.5,9.5,362,"Goldfish, Silver Carp, Koi Carp"
456,7.09,22.5,3.9,9.4,363,"Goldfish, Silver Carp, Koi Carp"
457,7.22,23.3,4.3,8.5,350,"Goldfish, Guppy, Mrigal, Silver Carp, Koi Carp"
458,7.04,20.7,4.4,7.8,335,"Goldfish, Silver Carp, Koi Carp"
459,7.35,22.6,3.7,9.7,369,"Goldfish, Silver Carp, Koi Carp"
460,7.08,21.3,4.6,8.2,340,"Goldfish, Silver Carp, Koi Carp"
461,7.26,23.1,3.9,9.2,360,"Goldfish, Silver Carp, Koi Carp"
462,7.03,22.0,4.2,7.6,330,"Goldfish, Tilapia, Guppy, Silver Carp, Koi Carp"
463,7.15,23.2,3.6,8.9,353,"Goldfish, Guppy, Silver Carp, Koi Carp"
464,7.19,21.4,4.3,7.8,336,"Goldfish, Silver Carp, Koi Carp"
465,7.11,22.7,4.5,8.3,347,"Goldfish, Guppy, Silver Carp, Koi Carp"
466,7.01,20.8,4.6,7.1,327,"Goldfish, Silver Carp, Koi Carp"
467,7.31,22.5,3.8,9.4,361,"Goldfish, Silver Carp, Koi Carp"
468,7.02,21.2,4.7,7.5,334,"Goldfish, Silver Carp, Koi Carp"
469,7.25,23.0,3.9,8.7,359,"Goldfish, Guppy, Silver Carp, Koi Carp"
470,7.12,20.9,4.4,8.2,339,"Goldfish, Silver Carp, Koi Carp"
471,7.16,21.7,4.1,8.3,344,"Goldfish, Silver Carp, Koi Carp"
472,7.29,22.8,4.8,9.2,361,"Goldfish, Silver Carp, Koi Carp"
473,7.01,21.4,4.6,7.7,329,"Goldfish, Silver Carp, Koi Carp"
474,7.18,23.1,4.0,9.1,354,"Goldfish, Silver Carp, Koi Carp"
475,7.14,20.7,4.4,7.9,336,"Goldfish, Silver Carp, Koi Carp"
476,7.25,22.3,3.8,8.4,344,"Goldfish, Guppy, Silver Carp, Koi Carp"
477,7.05,21.0,4.3,7.5,329,"Goldfish, Silver Carp, Koi Carp"
478,7.2,22.9,4.7,8.1,347,"Goldfish, Guppy, Silver Carp, Koi Carp"
479,7.1,21.8,4.0,8.7,343,"Goldfish, Silver Carp, Koi Carp"
480,7.33,23.2,4.6,9.8,367,"Goldfish, Silver Carp, Koi Carp"
481,7.07,20.8,3.8,7.7,332,"Goldfish, Silver Carp, Koi Carp"
482,7.21,22.4,4.5,8.9,356,"Goldfish, Guppy, Silver Carp, Koi Carp"
483,7.23,21.2,4.2,8.6,343,"Goldfish, Silver Carp, Koi Carp"
484,7.16,23.0,3.6,9.1,354,"Goldfish, Silver Carp, Koi Carp"
485,7.28,20.9,4.5,9.5,362,"Goldfish, Silver Carp, Koi Carp"
486,7.09,22.5,3.9,9.4,363,"Goldfish, Silver Carp, Koi Carp"
487,7.22,23.3,4.3,8.5,350,"Goldfish, Guppy, Mrigal, Silver Carp, Koi Carp"
488,7.04,20.7,4.4,7.8,335,"Goldfish, Silver Carp, Koi Carp"
489,7.35,22.6,3.7,9.7,369,"Goldfish, Silver Carp, Koi Carp"
490,7.08,21.3,4.6,8.2,340,"Goldfish, Silver Carp, Koi Carp"
491,7.26,23.1,3.9,9.2,360,"Goldfish, Silver Carp, Koi Carp"
492,7.03,22.0,4.2,7.6,330,"Goldfish, Tilapia, Guppy, Silver Carp, Koi Carp"
493,7.15,23.2,3.6,8.9,353,"Goldfish, Guppy, Silver Carp, Koi Carp"
494,7.19,21.4,4.3,7.8,336,"Goldfish, Silver Carp, Koi Carp"
495,7.11,22.7,4.5,8.3,347,"Goldfish, Guppy, Silver Carp, Koi Carp"
496,7.01,20.8,4.6,7.1,327,"Goldfish, Silver Carp, Koi Carp"
497,7.31,22.5,3.8,9.4,361,"Goldfish, Silver Carp, Koi Carp"
498,7.02,21.2,4.7,7.5,334,"Goldfish, Silver Carp, Koi Carp"
499,7.25,23.0,3.9,8.7,359,"Goldfish, Guppy, Silver Carp, Koi Carp"
500,7.12,20.9,4.4,8.2,339,"Goldfish, Silver Carp, Koi Carp"
